Name                    Skill_Lvl       vendor
Peacebloom              Apprentice      10
Silverleaf              Apprentice      10
Earthroot               Apprentice      20
Mageroyal               Apprentice      20
Swiftthistle            Apprentice      15
Bloodthistle            Apprentice      30
Briarthorn              Journeyman      25
Bruiseweed              Journeyman      25
Gravemoss               Journeyman      25
Kingsblood              Journeyman      30
Strangekelp             Journeyman      100
Wild_Steelbloom         Journeyman      50
Liferoot                Expert          75
Khadgar's_Whisker       Expert          175
Goldthorn               Expert          150
Fadeleaf                Expert          125
Wildvine                Expert          5
Wintersbite             Expert          100
Firebloom               Expert          250
Purple_Lotus            Expert          300
Arthas'_Tears           Artisan         95
Black_Lotus             Artisan         1000
Blindweed               Artisan         375
Bloodvine               Artisan         500
Dreamfoil               Artisan         100
Ghost_Mushroom          Artisan         375
Golden_Sansam           Artisan         100
Gromsblood              Artisan         250
Icecap                  Artisan         250
Mountain_Silversage     Artisan         150
Plaguebloom             Artisan         250
Sungrass                Artisan         60
Ancient_Lichen          TBC             750
Dreaming_Glory          TBC             500
Flame_Cap               TBC             750
Fel_Lotus               TBC             7500
Felweed                 TBC             500
Mana_Thistle            TBC             1500
Netherbloom             TBC             1000
Nightmare_vine          TBC             1250
Rageveil                TBC             600
Terocone                TBC             500
